BioStack-keo74-fda-provenance-parity-016-20260726	REG	619923a	codex/keo74-fda-provenance-parity-20260726	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=64/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-26 07:40:33 -0400|m0r6aN|Align FDA candidates with governed envelope
BioStack-keo74-ingest-fence-20260725	REG	0e1ecfe	codex/keo-74-ingest-fence-20260725	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=86/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-25 09:05:04 -0400|m0r6aN|Remove ungoverned canonical ingest route
BioStack-keo74-managed-blob-runtime-018-20260726	REG	dd70c95	codex/keo74-managed-blob-runtime-20260726	origin/codex/keo74-managed-blob-runtime-20260726	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=60/1	uniqpatch=0	REMOTE_EXISTS;unpushed=0	2026-07-26 10:10:52 -0400|m0r6aN|Add managed Blob source acquisition runtime
BioStack-keo74-network-foundation-020-20260726	REG	a0b3b2d	codex/keo74-network-foundation-20260726	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=58/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-26 13:20:25 -0400|m0r6aN|feat(infra): add guarded source acquisition network foundation
BioStack-keo74-nih-nccih-manual-011-20260725	REG	6ecd14b	codex/keo74-nih-nccih-manual-20260725	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=72/2	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-25 19:31:46 -0400|m0r6aN|Add governed NCCIH manual review workflow
BioStack-keo74-nih-ods-adapter-010-20260725	REG	906800c	codex/keo74-nih-ods-adapter-20260725	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=72/2	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-25 19:28:46 -0400|m0r6aN|Add guarded NIH ODS fact sheet adapter
BioStack-keo74-offline-source-planning-20260725	REG	25d1595	codex/keo-74-offline-source-planning-20260725	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=78/2	uniqpatch=2	NO_REMOTE;unpushed=-	2026-07-25 10:36:11 -0400|m0r6aN|Add governed offline source acquisition planning
BioStack-keo74-pubchem-adapter-007-20260725	REG	176ed3a	codex/keo74-pubchem-adapter-20260725	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=72/2	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-25 18:37:55 -0400|m0r6aN|Add guarded PubChem identity adapter
BioStack-keo74-pubchem-adapter-20260725	REG	554ea2b	codex/keo74-source-acquisition-primitives-20260725	origin/codex/keo74-source-acquisition-primitives-20260725	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=72/1	uniqpatch=0	REMOTE_EXISTS;unpushed=0	2026-07-25 18:19:57 -0400|m0r6aN|Add governed source acquisition primitives
BioStack-keo74-pubmed-adapter-008-20260725	REG	e6ddd84	codex/keo74-pubmed-adapter-20260725	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=72/3	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-25 18:54:04 -0400|m0r6aN|Add bounded PubMed citation adapter
